timestamp,config_name,gpu_freq_mhz,cpu_freq_mhz,target_gpu_freq_mhz,target_cpu_freq_mhz,workload,phase,prompt_length,output_length,repeat,ttft_ms,tpot_ms,total_time_ms,output_tokens,tokens_per_second,total_energy_j,avg_power_w,max_power_w,energy_per_token_j,tokens_per_joule,avg_gpu_soc_w,avg_cpu_cv_w,avg_sys_5v0_w,avg_temp_cpu_c,max_temp_cpu_c,power_samples,model,runtime,phase_note
2026-05-13T22:56:17.880544,GPU306_CPU1036,306,1036,306,1036,short_short,prefill,128,64,0,189.28537098690867,189.33198507875204,189.33198507875204,1,5.281727752360771,5.25,10.499,10.499,5.25,0.19047619047619047,3.594,1.597,5.308,49.5,49.5,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:18.879884,GPU306_CPU1036,306,1036,306,1036,short_short,prefill,128,64,1,189.71177097409964,189.75854595191777,189.75854595191777,1,5.26985488312809,5.148,10.296,10.296,5.148,0.19425019425019427,3.592,1.596,5.108,49.4,49.4,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:19.878894,GPU306_CPU1036,306,1036,306,1036,short_short,prefill,128,64,2,189.8120332043618,189.8604710586369,189.8604710586369,1,5.267025802812624,4.898,9.797,9.797,4.898,0.2041649652919559,3.592,1.197,5.008,49.3,49.3,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:20.878225,GPU306_CPU1036,306,1036,306,1036,short_long,prefill,128,256,0,190.10537303984165,190.1540991384536,190.1540991384536,1,5.25889267983588,4.898,9.797,9.797,4.898,0.2041649652919559,3.592,1.197,5.008,49.2,49.2,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:21.878486,GPU306_CPU1036,306,1036,306,1036,short_long,prefill,128,256,1,190.91422390192747,190.96243800595403,190.96243800595403,1,5.2366319284676335,4.898,9.797,9.797,4.898,0.2041649652919559,3.592,1.197,5.008,49.6,49.6,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:23.444624,GPU306_CPU1036,306,1036,306,1036,short_long,prefill,128,256,2,756.5761869773269,756.6320470068604,756.6320470068604,1,1.3216463721776948,10.746,10.746,11.096,10.746,0.09305788200260562,3.592,1.796,5.358,49.4,49.5,2,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:33.643832,GPU306_CPU1036,306,1036,306,1036,medium_medium,prefill,512,128,0,9387.76402710937,9387.76402710937,9387.76402710937,0,0.0,111.026,11.687,11.992,0.0,0.0,3.193,3.676,4.818,50.1,50.3,19,Phi-3-mini-Q4,llama.cpp,
2026-05-13T22:56:34.656582,GPU306_CPU1036,306,1036,306,1036,medium_medium,prefill,512,128,1,203.4551550168544,203.51037592627108,203.51037592627108,1,4.9137543746776124,4.85,9.699,9.699,4.85,0.2061855670103093,3.594,1.198,4.907,49.6,49.6,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:35.665056,GPU306_CPU1036,306,1036,306,1036,medium_medium,prefill,512,128,2,199.35761694796383,199.41075798124075,199.41075798124075,1,5.01477457948419,4.648,9.297,9.297,4.648,0.21514629948364888,3.193,1.197,4.907,49.4,49.4,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:49.385689,GPU306_CPU1036,306,1036,306,1036,long_medium,prefill,1024,128,0,12908.362786984071,12908.362786984071,12908.362786984071,0,0.0,152.104,11.7,12.092,0.0,0.0,3.193,3.623,4.884,50.2,50.5,26,Phi-3-mini-Q4,llama.cpp,
2026-05-13T22:56:50.408147,GPU306_CPU1036,306,1036,306,1036,long_medium,prefill,1024,128,1,213.21332198567688,213.27647706493735,213.27647706493735,1,4.688749616281054,4.898,9.797,9.797,4.898,0.2041649652919559,3.592,1.197,5.008,50.2,50.2,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:51.426087,GPU306_CPU1036,306,1036,306,1036,long_medium,prefill,1024,128,2,208.6530700325966,208.71632220223546,208.71632220223546,1,4.791192128381081,4.848,9.696,9.696,4.848,0.20627062706270627,3.592,1.197,4.907,49.7,49.7,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:52.444386,GPU306_CPU1036,306,1036,306,1036,long_long,prefill,1024,512,0,208.83882092311978,208.90322397463024,208.90322397463024,1,4.786905539195712,4.898,9.797,9.797,4.898,0.2041649652919559,3.592,1.197,5.008,49.7,49.7,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:53.472088,GPU306_CPU1036,306,1036,306,1036,long_long,prefill,1024,512,1,218.40214310213923,218.4645300731063,218.4645300731063,1,4.5774021058034595,5.148,10.296,10.296,5.148,0.19425019425019427,3.592,1.596,5.108,49.7,49.7,1,Phi-3-mini-Q4,llama.cpp,prefill-only (1 output token)
2026-05-13T22:56:54.492058,GPU306_CPU1036,306,1036,306,1036,long_long,prefill,1024,512,2,210.60454403050244,210.60454403050244,210.60454403050244,0,0.0,5.198,10.396,10.396,0.0,0.0,3.592,1.596,5.208,50.0,50.0,1,Phi-3-mini-Q4,llama.cpp,
2026-05-13T22:57:07.416860,GPU306_CPU1036,306,1036,306,1036,short_short,decode,128,64,0,190.92569802887738,189.22126320530734,12112.129773013294,64,5.283959237507235,143.235,11.459,12.205,2.238046875,0.4468181659510594,3.8,1.996,5.663,49.8,50.1,25,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 64 output)"
2026-05-13T22:57:20.253798,GPU306_CPU1036,306,1036,306,1036,short_short,decode,128,64,1,190.01997518353164,187.84477857000653,12024.535433156416,64,5.322450946714049,139.94,11.662,13.304,2.1865625,0.4573388595112191,3.792,2.146,5.724,50.0,50.5,24,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 64 output)"
2026-05-13T22:57:33.047825,GPU306_CPU1036,306,1036,306,1036,short_short,decode,128,64,2,189.17440995573997,187.17716184134284,11981.603811960667,64,5.341521970215025,136.382,11.365,12.205,2.13096875,0.46927013828804387,3.742,1.963,5.661,49.8,50.1,24,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 64 output)"
2026-05-13T22:58:21.931725,GPU306_CPU1036,306,1036,306,1036,short_long,decode,128,256,0,187.4294700101018,187.742062278238,48062.58626002818,256,5.326388359856228,553.504,11.531,12.306,2.162125,0.46250794935537953,3.78,2.038,5.714,50.1,50.6,96,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 256 output)"
2026-05-13T22:59:10.867067,GPU306_CPU1036,306,1036,306,1036,short_long,decode,128,256,1,189.95488085784018,187.9346448352889,48114.24822895788,256,5.320669228412151,552.257,11.505,12.205,2.15725390625,0.4635522953987003,3.771,2.025,5.709,50.5,50.9,96,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 256 output)"
2026-05-13T22:59:59.753321,GPU306_CPU1036,306,1036,306,1036,short_long,decode,128,256,2,190.56950695812702,187.7402805604552,48065.282186027616,256,5.326089608903163,559.88,11.664,12.307,2.18703125,0.4572408373222834,3.809,2.129,5.726,50.8,51.2,96,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 256 output)"
2026-05-13T23:00:24.601391,GPU306_CPU1036,306,1036,306,1036,medium_medium,decode,512,128,0,189.58470784127712,187.73547578859694,24032.49748190865,128,5.326121436041207,278.266,11.594,12.205,2.173953125,0.45999151890637013,3.75,2.121,5.723,50.7,51.2,48,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 128 output)"
2026-05-13T23:00:49.418955,GPU306_CPU1036,306,1036,306,1036,medium_medium,decode,512,128,1,187.62832204811275,187.5124691571219,24002.198714995757,128,5.33284477475932,274.66,11.444,12.205,2.14578125,0.46603072890118685,3.734,2.004,5.706,50.7,51.0,48,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 128 output)"
2026-05-13T23:01:14.317425,GPU306_CPU1036,306,1036,306,1036,medium_medium,decode,512,128,2,188.1598741747439,188.14101885072887,24082.576014101505,128,5.3150460285083225,279.008,11.625,12.205,2.17975,0.45876820736322976,3.784,2.129,5.713,50.8,51.0,48,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 128 output)"
2026-05-13T23:01:39.050179,GPU306_CPU1036,306,1036,306,1036,long_medium,decode,1024,128,0,188.65272286348045,186.8368846778648,23917.419699952006,128,5.35174787271291,273.923,11.413,12.207,2.1400234375,0.46728460187716986,3.734,1.988,5.692,50.8,51.1,48,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 128 output)"
2026-05-13T23:02:03.839099,GPU306_CPU1036,306,1036,306,1036,long_medium,decode,1024,128,1,187.723201001063,187.28484821278514,23973.39063603431,128,5.339253088697587,280.509,11.688,12.305,2.1914765625,0.45631334466986795,3.825,2.146,5.717,51.0,51.5,48,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 128 output)"
2026-05-13T23:02:28.594127,GPU306_CPU1036,306,1036,306,1036,long_medium,decode,1024,128,2,187.5707171857357,187.02295993630753,23939.97319112532,128,5.346706070976317,274.584,11.441,12.205,2.1451875,0.46615971797337064,3.759,1.988,5.695,51.1,51.6,48,Phi-3-mini-Q4,llama.cpp,"decode-only (16 prompt tokens, 128 output)"
