,,ttft_ms,ttft_ms,tpot_ms,tpot_ms,tokens_per_second,tokens_per_second,total_time_ms,total_time_ms,output_tokens
,,mean,std,mean,std,mean,std,mean,std,mean
config_name,workload,,,,,,,,,
GPU1300_CPU1036,long_long,209.52,0.74,215.82,1.85,4.63,0.03,103872.21,12380.88,480.67
GPU1300_CPU1036,long_medium,3841.01,6289.96,3840.96,6290.01,3.18,2.76,21572.85,9066.26,85.33
GPU1300_CPU1036,medium_medium,2940.39,4751.76,195.08,1.31,2.91,2.56,12259.51,18103.71,48.33
GPU1300_CPU1036,short_long,188.6,0.07,188.93,0.13,5.29,0.0,48366.42,34.22,256.0
GPU1300_CPU1036,short_short,187.03,0.11,185.73,0.06,5.38,0.0,11888.0,3.64,64.0
GPU1300_CPU1497,long_long,151.23,0.48,156.67,0.75,6.38,0.03,80211.66,383.42,512.0
GPU1300_CPU1497,long_medium,2641.7,4313.73,2641.16,4314.2,2.23,3.86,8965.75,9556.95,42.67
GPU1300_CPU1497,medium_medium,2030.38,3270.88,140.67,1.05,4.19,3.73,13889.4,12238.86,85.33
GPU1300_CPU1497,short_long,135.76,0.89,136.2,0.36,7.34,0.02,34867.46,91.63,256.0
GPU1300_CPU1497,short_short,135.29,0.22,134.4,0.12,7.44,0.01,8603.0,8.03,64.0
GPU1300_CPU2201,long_long,113.24,0.1,118.8,5.33,5.48,4.75,41548.91,35900.06,341.33
GPU1300_CPU2201,long_medium,1815.42,2948.1,113.4,1.14,8.04,1.27,16217.26,2808.71,128.0
GPU1300_CPU2201,medium_medium,1370.4,2190.26,1369.48,2191.05,6.38,5.53,10216.61,5471.0,85.33
GPU1300_CPU2201,short_long,99.89,0.37,100.77,0.16,9.92,0.02,25795.72,40.86,256.0
GPU1300_CPU2201,short_short,99.42,0.27,98.95,0.07,10.11,0.01,6333.13,4.68,64.0
GPU306_CPU1036,long_long,209.42,0.68,211.78,4.32,3.12,2.7,56716.34,55409.87,264.0
GPU306_CPU1036,long_medium,3801.11,6221.66,3799.11,6223.39,3.24,2.8,21246.05,8886.11,85.33
GPU306_CPU1036,medium_medium,2961.2,4787.03,194.27,0.05,4.71,0.75,27503.93,4556.41,127.33
GPU306_CPU1036,short_long,376.25,324.22,191.42,2.78,5.21,0.11,48604.93,21.32,253.0
GPU306_CPU1036,short_short,188.68,0.18,187.06,0.13,5.35,0.0,11973.47,8.58,64.0
GPU306_CPU1497,long_long,151.0,0.72,153.26,4.33,2.11,3.65,27099.57,46676.65,170.67
GPU306_CPU1497,long_medium,2598.24,4237.77,2598.23,4237.77,2.21,3.83,8981.08,9660.0,42.67
GPU306_CPU1497,medium_medium,2038.77,3041.55,1988.3,3082.72,3.57,3.57,13802.08,7149.09,64.0
GPU306_CPU1497,short_long,135.65,0.58,136.22,0.08,7.34,0.0,34871.94,21.8,256.0
GPU306_CPU1497,short_short,135.06,0.15,133.97,0.06,7.46,0.0,8575.41,4.12,64.0
GPU306_CPU2201,long_long,113.42,0.14,118.17,0.47,8.46,0.03,60106.65,864.52,508.33
GPU306_CPU2201,long_medium,1792.93,2909.15,113.23,1.77,8.1,1.41,16173.19,3133.9,128.0
GPU306_CPU2201,medium_medium,1317.04,2098.42,105.08,0.76,2.51,4.35,5728.37,9739.07,42.67
GPU306_CPU2201,short_long,100.3,0.57,100.93,0.24,9.89,0.01,25370.0,870.81,251.0
GPU306_CPU2201,short_short,99.92,0.71,99.1,0.12,10.09,0.01,6343.59,8.17,64.0
GPU612_CPU1036,long_long,209.1,0.29,215.78,0.8,4.63,0.02,100910.65,8315.52,467.0
GPU612_CPU1036,long_medium,3793.31,6208.05,3793.11,6208.23,1.61,2.78,12572.86,13241.93,42.67
GPU612_CPU1036,medium_medium,2826.04,4552.64,195.23,1.91,3.02,2.69,19262.98,16977.96,85.33
GPU612_CPU1036,short_long,374.21,322.34,189.43,1.2,5.25,0.09,46009.12,3998.35,241.67
GPU612_CPU1036,short_short,187.3,0.13,185.99,0.07,5.38,0.0,11904.93,4.22,64.0
GPU612_CPU1497,long_long,151.04,0.41,156.33,0.54,6.39,0.01,78068.52,3686.11,499.0
GPU612_CPU1497,long_medium,2617.51,4272.32,2617.11,4272.67,2.23,3.87,8934.92,9551.18,42.67
GPU612_CPU1497,medium_medium,1942.72,3117.13,1942.02,3117.73,2.38,4.12,7869.99,9115.68,42.67
GPU612_CPU1497,short_long,135.39,0.08,135.81,0.04,7.36,0.0,34766.45,10.02,256.0
GPU612_CPU1497,short_short,135.12,0.2,133.86,0.25,7.47,0.01,8568.39,15.64,64.0
