timestamp,config_name,gpu_freq_mhz,cpu_freq_mhz,emc_freq_mhz,target_gpu_mhz,target_emc_mhz,workload,prompt_length,output_length,phase,repeat,ttft_ms,tpot_ms,total_time_ms,output_tokens,tokens_per_second,total_energy_j,avg_power_w,max_power_w,energy_per_token_j,tokens_per_joule,avg_gpu_soc_w,avg_cpu_cv_w,avg_sys_5v0_w,avg_temp_cpu_c,power_samples,model,runtime,experiment
2026-06-03T13:28:54.785929,GPU306_CPU1036,306,1036,3199,306,3199,p64_o64,64,64,decode,0,245.41376798879355,242.78894503275671,15541.384940966964,64,4.118037114652281,278.135,17.944,18.52,4.345859375,0.23010408614521727,9.454,0.438,8.053,66.8,31,Qwen2.5-14B-Instruct-Q4_K_M,llama.cpp,finegrained_gpu_emc
2026-06-03T13:29:11.143601,GPU306_CPU1036,306,1036,3199,306,3199,p64_o64,64,64,decode,1,245.48245803453028,242.82256909461307,15543.574284063652,64,4.117457081002098,276.725,17.853,18.516,4.323828125,0.2312765380793206,9.402,0.438,8.014,66.1,31,Qwen2.5-14B-Instruct-Q4_K_M,llama.cpp,finegrained_gpu_emc
2026-06-03T13:29:27.496584,GPU306_CPU1036,306,1036,3199,306,3199,p64_o64,64,64,decode,2,245.6988989142701,242.74211271577292,15538.724179961719,64,4.118742263443514,276.045,17.809,18.516,4.313203125,0.23184625695085945,9.4,0.45,7.959,65.5,31,Qwen2.5-14B-Instruct-Q4_K_M,llama.cpp,finegrained_gpu_emc
2026-06-03T13:29:59.405800,GPU306_CPU1036,306,1036,3199,306,3199,p128_o128,128,128,decode,0,246.0373160429299,242.8660578264921,31090.515568037517,128,4.117011174031154,546.856,17.93,18.516,4.2723125,0.23406527495355267,9.502,0.432,7.996,64.7,61,Qwen2.5-14B-Instruct-Q4_K_M,llama.cpp,finegrained_gpu_emc
2026-06-03T13:30:31.315345,GPU306_CPU1036,306,1036,3199,306,3199,p128_o128,128,128,decode,1,245.5986540298909,246.75790449604392,31090.832985006273,126,4.052641499208599,545.564,17.887,18.416,4.329873015873016,0.23095365529983652,9.502,0.432,7.953,63.8,61,Qwen2.5-14B-Instruct-Q4_K_M,llama.cpp,finegrained_gpu_emc
2026-06-03T13:31:03.224594,GPU306_CPU1036,306,1036,3199,306,3199,p128_o128,128,128,decode,2,245.82295096479356,242.86879360672145,31090.653063962236,128,4.116992966878757,542.822,17.797,18.315,4.240796875,0.23580473893836285,9.482,0.432,7.884,63.1,61,Qwen2.5-14B-Instruct-Q4_K_M,llama.cpp,finegrained_gpu_emc
2026-06-03T13:33:13.232871,GPU306_CPU1036,306,1036,3199,306,3199,p128_o512,128,512,decode,0,245.54126395378262,254.77086609687746,129161.54968400951,507,3.9253167931196455,2213.866,17.57,18.815,4.366599605522683,0.22901115062971292,9.341,0.437,7.792,61.9,252,Qwen2.5-14B-Instruct-Q4_K_M,llama.cpp,finegrained_gpu_emc
2026-06-03T13:35:23.349248,GPU306_CPU1036,306,1036,3199,306,3199,p128_o512,128,512,decode,1,255.07443398237228,252.47107834624467,129269.755761954,512,3.9607098890387875,2199.996,17.53,18.315,4.2968671875,0.23272769586853792,9.353,0.442,7.735,60.6,251,Qwen2.5-14B-Instruct-Q4_K_M,llama.cpp,finegrained_gpu_emc
2026-06-03T13:37:33.479266,GPU306_CPU1036,306,1036,3199,306,3199,p128_o512,128,512,decode,2,254.43800003267825,252.4995289491435,129283.64735096693,512,3.960284308889207,2196.266,17.5,18.315,4.28958203125,0.23312294594552754,9.353,0.421,7.726,59.7,251,Qwen2.5-14B-Instruct-Q4_K_M,llama.cpp,finegrained_gpu_emc
2026-06-03T13:38:36.849472,GPU306_CPU1036,306,1036,3199,306,3199,p256_o256,256,256,decode,0,253.89137503225356,244.26536654880016,62542.56113001611,256,4.093212611933438,1081.601,17.731,18.315,4.22500390625,0.23668617170287376,9.492,0.432,7.808,59.4,122,Qwen2.5-14B-Instruct-Q4_K_M,llama.cpp,finegrained_gpu_emc
