model,workload,prompt_length,output_length,dynamic_ept,maxn_ept,best_static_ept,pareto_ept,oracle_energy_ept,oracle_slo_ept,oracle_slo_tpot,oracle_power_tpot,oracle_power_ept,dynamic_tpot,maxn_tpot,best_static_tpot,pareto_tpot,oracle_energy_tpot,oracle_slo_ept_actual_tpot,oracle_power_ept_actual_tpot,dynamic_power,maxn_power,best_static_power,pareto_power,oracle_energy_power,oracle_slo_power,oracle_power_power,oracle_energy_gpu_mhz,oracle_slo_gpu_mhz,oracle_slo_feasible,oracle_power_gpu_mhz,oracle_power_feasible,best_static_cap_mhz,pareto_cap_mhz,dynamic_vs_oracle_energy_gap_pct,maxn_vs_oracle_energy_gap_pct,best_static_vs_oracle_energy_gap_pct,pareto_vs_oracle_energy_gap_pct
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p1024_o1024,1024,1024,2.111009765625,2.1237890625,2.0865703125,2.02997265625,2.0166201171875,2.0166201171875,43.48617849460933,138.58381638320242,2.3366708984375,44.27171260608271,42.40333005767279,44.21396725317181,43.3528144966323,43.48617849460933,0.0,0.0,48.037,49.994,47.481,47.822,47.472,47.472,0.0,816,816,True,306,True,816,408,4.680586474022768,5.314285243864606,3.4686847917622243,0.6621246584171976
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p1024_o128,1024,128,2.206484375,2.2773359375,2.195875,1.979890625,1.968859375,1.968859375,40.85684024387839,133.36750418937757,2.316609375,41.534495133884604,40.80390783419144,41.62138825975447,40.818741347083424,40.85684024387839,0.0,0.0,47.072,48.583,46.845,46.077,45.821,45.821,0.0,918,918,True,306,True,816,1122,12.069170760354583,15.667780361408498,11.530311808074151,0.5602863332989348
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p1024_o512,1024,512,2.123349609375,2.13202734375,2.09221875,2.01774609375,2.004615234375,2.004615234375,42.73346058501262,138.76378001944104,2.35455859375,42.76046962244892,41.65410600377542,42.79126467113976,42.62128425238075,42.73346058501262,0.0,0.0,48.318,49.766,47.61,48.051,47.738,47.738,0.0,816,816,True,306,True,816,408,5.923050616594705,6.35593839606454,4.370091283493251,0.6550314070168114
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p128_o128,128,128,2.0313046875,2.08025,2.0063515625,1.982625,1.948921875,1.948921875,40.7958030004025,133.12578573181315,2.28871875,41.19392237021023,40.54333023657274,41.380361260618926,40.8274467794342,40.7958030004025,0.0,0.0,47.274,48.413,46.693,46.141,45.357,45.357,0.0,408,408,True,306,True,816,1224,4.2270967121244984,6.738501254700116,2.9467413874658264,1.729321499867724
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p128_o512,128,512,2.0304296875,2.0905703125,2.04498828125,2.008392578125,1.99546875,1.99546875,42.64506512324266,138.76309403315835,2.33987890625,43.111000056724826,42.012586686878656,43.23124239351528,42.721102596944064,42.64506512324266,0.0,0.0,48.323,49.792,47.592,47.828,47.52,47.52,0.0,408,408,True,306,True,816,1224,1.7520162869000058,4.765875812387453,2.4815989350873227,0.6476587581238819
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p2048_o128,2048,128,2.66978125,2.72975,2.651859375,1.981609375,1.9683671875,1.9683671875,40.88911926832167,133.38172629908254,2.314671875,42.69841070814923,41.987582306949584,42.72446646465091,40.715553299120565,40.88911926832167,0.0,0.0,45.564,46.614,45.258,46.117,45.809,45.809,0.0,918,918,True,306,True,816,408,35.63430984596213,38.6809339911332,34.72381534504725,0.6727498600918406
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p2048_o512,2048,512,2.2116640625,2.247130859375,2.198150390625,2.019517578125,2.00521484375,2.00521484375,42.756548978355504,138.77562246761065,2.3568359375,43.31113992362792,42.09657282766261,43.38287936392333,42.62125282183858,42.756548978355504,0.0,0.0,48.186,50.023,47.892,48.093,47.752,47.752,0.0,816,816,True,306,True,816,408,10.295615923324924,12.064343946935224,9.621689539969015,0.7132769049451007
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p256_o256,256,256,2.0640703125,2.09753125,2.05453125,1.96759375,1.96,1.96,41.14581544326582,134.0967416115032,2.300328125,42.98367513361953,42.32104793738793,43.0392724274676,41.25541036072023,41.14581544326582,0.0,0.0,48.036,48.815,47.815,47.972,47.787,47.787,0.0,408,408,True,306,True,816,1224,5.309709821428582,7.016900510204076,4.823022959183683,0.38743622448979925
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p512_o1024,512,1024,2.066078125,2.0922041015625,2.0535234375,2.0246591796875,2.0165283203125,2.0165283203125,43.48431167159528,138.54209069794868,2.346849609375,44.15629826290834,42.37948418565309,44.22202574581687,43.33830703623895,43.48431167159528,0.0,0.0,47.543,49.824,47.254,47.661,47.47,47.47,0.0,816,816,True,306,True,816,408,2.4571836749518763,3.752775524534776,1.8345944767969686,0.40321077036696346
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p512_o128,512,128,2.198734375,2.25603125,2.166578125,1.9782578125,1.968484375,1.968484375,40.769074267091774,133.39577307906296,2.313890625,43.499766228405214,42.822511055448096,43.66591766909293,40.83968647279021,40.769074267091774,0.0,0.0,46.906,48.129,46.22,46.039,45.812,45.812,0.0,408,408,True,306,True,816,918,11.696816237111348,14.607526412293714,10.063262503671128,0.49649555892461866
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p512_o512,512,512,2.055451171875,2.08706640625,2.04731640625,2.009005859375,2.003208984375,2.003208984375,42.79180423291892,138.78124005479262,2.354697265625,43.07005053031607,41.79704689430784,42.97996880035527,42.76048846578375,42.79180423291892,0.0,0.0,47.836,49.701,47.647,47.842,47.704,47.704,0.0,816,816,True,306,True,816,1300,2.6079249797444186,4.186154441652694,2.2018382614613548,0.2893794429445796
Meta-Llama-3.1-8B-Instruct-Q4_K_M,p64_o64,64,64,2.09425,2.15178125,2.06503125,2.004109375,1.96984375,1.96984375,40.6674757943533,40.64030682535044,2.0164375,41.218840714824935,40.52466996908483,41.2771333016396,40.68553828567799,40.6674757943533,0.0,0.0,44.677,45.905,44.054,42.754,42.023,42.023,0.0,408,408,True,714,True,816,612,6.3155389862774785,9.236138653129219,4.832236059332128,1.7395097961450086
Qwen2.5-14B-Instruct-Q4_K_M,p1024_o1024,1024,1024,3.955751953125,4.1570556640625,3.913716796875,3.727580808080808,3.460055882352941,,,86.03564772683268,3.460055882352941,80.09380330982547,78.75718737730277,80.35189194141824,78.66818965109496,86.03564772683268,78.66818965109496,0.0,49.702,52.88,49.174,48.397,41.37,0.0,0.0,1122,918,False,1122,True,612,918,14.326244651140458,20.144177013568296,13.1113753634972,7.731809393377259
Qwen2.5-14B-Instruct-Q4_K_M,p1024_o128,1024,128,4.30390625,4.39925,4.32428125,3.576546875,3.337921875,,,82.54445692080652,3.337921875,77.06610933056204,76.18557202435414,77.20482145714772,75.91214719664775,82.54445692080652,75.89226376309287,0.0,47.909,50.633,48.131,48.189,40.691,0.0,0.0,1122,1020,False,1122,True,612,612,28.93969395254344,31.79607446624257,29.550103685395573,7.148909079844771
Qwen2.5-14B-Instruct-Q4_K_M,p1024_o512,1024,512,3.940361328125,4.11464453125,3.9710234375,3.726443438914027,3.470517578125,,,85.90003314866354,3.470517578125,78.62703976132077,77.42587981792076,79.16782327008173,78.7683203463295,85.90003314866354,78.75423732490704,0.0,49.674,52.017,49.589,48.304,41.188,0.0,0.0,1122,612,False,1122,True,612,918,13.538146383740266,18.559968034306838,14.421648878246165,7.374285103817137
