strategy,workload_name,prompt_len,output_len,batch_size,repeat,ttft_ms,tpot_ms,total_time_ms,total_energy_j,avg_power_w,max_power_w,temperature_c,tokens_per_second,slo_met,slo_violations,switch_overhead_ms,switch_energy_j
default,short_short,128,64,1,0,9.571663701663343,7.837918861496276,523.100655968173,11.267932943829408,21.540659173853115,42.20367859742494,51.132779674918424,122.34739006692041,False,max_power_w,,
default,short_short,128,64,1,1,11.195571777424771,7.894353602642324,534.4051609247216,11.743852892503034,21.97556040099193,34.20488707461584,46.27999997288664,119.75932247595807,True,,,
default,short_short,128,64,1,2,11.401643851569512,7.849825019673311,528.6347164660539,10.800595155066404,20.43111210566883,36.8619769387966,44.99991369385053,121.06658531214671,True,,,
default,short_short,128,64,1,3,12.003899315308338,7.847307658891962,526.6765839698942,11.44339152670188,21.727549458238315,37.496269315641925,50.38306458875291,121.51669914312797,True,,,
default,short_short,128,64,1,4,11.647228279835712,7.820819857465725,525.4710849868067,12.887342642251744,24.525312639372565,49.39830248292932,46.26873768108139,121.79547424880076,False,max_power_w,,
default,short_short,128,64,1,5,10.561437492644004,8.048689600215964,539.1768867575084,12.127630254290612,22.49286004677152,45.304971107586,48.76086447131545,118.69945016538445,False,max_power_w,,
default,short_short,128,64,1,6,11.829637358016564,7.758199309608679,518.9733214455956,8.631531224256126,16.63193630110517,31.75009145971275,59.08165853219142,123.3204046437851,True,,,
default,short_short,128,64,1,7,11.841220660457601,7.819180002384096,523.0993326238395,14.014009823029145,26.790341621610544,46.24703928217731,51.10499817332518,122.34769958313515,False,max_power_w,,
default,short_short,128,64,1,8,11.107857633860192,7.994530232333351,537.918778885222,8.52470420008317,15.847567578417117,22.512913717678416,53.104819615056755,118.9770696100869,True,,,
default,short_short,128,64,1,9,11.585657870884841,7.948733387573284,533.9893796242712,8.505700526801633,15.928594933454415,30.28820815539788,43.637859746690204,119.85257093508498,True,,,
default,short_long,128,256,1,0,12.803609449519122,7.893913190539194,2047.7020902255435,38.180849383754285,18.64570513748358,26.139213277404565,49.35368108488744,125.01818561498023,True,,,
default,short_long,128,256,1,1,12.19518453846145,7.90274545962723,2054.245244163824,32.48678541091237,15.81446300202391,28.413252507728522,44.61037920297029,124.61997939501342,True,,,
default,short_long,128,256,1,2,12.480950196305665,7.907149471647579,2051.154269620798,43.94393430349836,21.42400255034078,42.970011497363316,51.2709604789161,124.80777472058567,False,max_power_w,,
default,short_long,128,256,1,3,11.339539759909709,7.943708490172796,2057.521954271031,57.73032983728128,28.05818412651389,48.03493829630569,49.30562063996363,124.42151563369316,False,max_power_w,,
default,short_long,128,256,1,4,10.940737846743854,7.819092744905639,2022.5795792332135,42.78909653978156,21.155704813356945,34.499366445648,49.307914116347966,126.57103959145725,True,,,
default,short_long,128,256,1,5,12.736392722235099,7.872020986987146,2040.9924384046878,30.218133874655006,14.805607951333016,27.71022631977515,52.42399232346206,125.42917611203826,True,,,
default,short_long,128,256,1,6,12.378635515226692,7.766760633280748,2014.861404971075,48.319507922767926,23.9815541672265,31.332745783361595,48.87703802231708,127.05588551569633,True,,,
default,short_long,128,256,1,7,11.126977086416355,7.9202762636280655,2051.7452243799607,39.891111695881435,19.442526889729482,37.77490311484424,56.494970699256854,124.77182691011913,True,,,
default,short_long,128,256,1,8,10.610095241992893,7.816545964055558,2025.0640542296048,42.789290952440275,21.129845677261113,39.57736619647751,51.91916993744696,126.41575433888687,True,,,
default,short_long,128,256,1,9,12.730170582672352,8.005005114196551,2076.633999760113,33.201610366773785,15.988185867422542,30.097056240837574,45.19791149862327,123.27641752449993,True,,,
default,medium_medium,512,128,1,0,12.052438291866764,7.5705294353379795,1068.033342727032,21.948897829249255,20.550760871572297,37.05301881060511,53.13609111547587,119.84644568602596,True,,,
default,medium_medium,512,128,1,1,11.304858108016152,7.532406780490933,1056.9885882157785,20.926346062181388,19.798081356304472,30.102193906637655,50.34708562430339,121.09875303012211,True,,,
default,medium_medium,512,128,1,2,11.124022024897375,7.738226977504799,1071.6410037857688,20.273681652750945,18.91835193047899,34.01302155438667,49.638235091408404,119.44298468219904,True,,,
default,medium_medium,512,128,1,3,11.49030658430084,7.764689703796163,1121.6875073629108,20.416665202339406,18.20174074180341,35.431747997716336,51.79340079678365,114.11377871268998,True,,,
default,medium_medium,512,128,1,4,14.095787786126756,7.634752419073818,1086.9017312306335,19.105758659464815,17.57818403493802,28.267493578418446,52.02658881090669,117.76593625908875,True,,,
