config_name,ttft_ms,tpot_ms,tokens_per_second,total_time_ms
GPU1300_CPU1036,1473.31,925.3,4.28,39591.8
GPU1300_CPU1497,1018.87,641.82,5.52,29307.45
GPU1300_CPU2201,699.67,360.28,7.99,20022.32
GPU306_CPU1036,1507.33,916.73,4.32,33208.94
GPU306_CPU1497,1011.74,1002.0,4.54,18666.02
GPU306_CPU2201,684.72,107.3,7.81,22744.36
GPU612_CPU1036,1477.99,915.91,3.98,38132.11
GPU612_CPU1497,996.36,997.03,5.17,27641.65
GPU612_CPU2201,682.08,106.41,6.7,13215.49
GPU918_CPU1036,1514.49,937.79,4.17,35005.8
GPU918_CPU1497,1015.92,143.11,5.41,24484.54
GPU918_CPU2201,708.56,448.1,7.49,18639.45
